id,productname,description,price,total,sold
1,Burweed Marsh Elder,"Spontaneous rupture of flexor tendons, unsp ankle and foot",8.63,2828456315,0
2,Zidovudine,"Displaced fracture of capitate [os magnum] bone, left wrist",38.66,7565304441,0
3,Sodium Monofluorophosphate,"Superficial foreign body, right lower leg, sequela",5.29,2844691382,0
4,California Walnut Black Pollen,"Nondisp subtrochnt fx unsp femr, 7thG",3.89,2323776975,0
5,Oxycodone hydrochloride and Acetaminophen,"Wedge comprsn fx fifth lum vert, subs for fx w routn heal",29.43,9570600969,0
6,Rhizopus spp,"Bent bone of left rad, subs for opn fx type I/2 w nonunion",43.13,0624198847,0
7,Amitriptyline Hydrochloride,"Unsp fx second MC bone, left hand, subs for fx w delay heal",56.01,6184923773,0
8,Salicylic Acid,"Algoneurodystrophy, right forearm",21.12,2999234376,0
9,Oxygen-Helium Mixture,"Underdosing of local astringents/detergents, sequela",68.2,0119682141,0
10,TRICLOSAN,Burn of unspecified degree of upper arm,14.4,1365390888,0
11,docusate sodium,Hypersplenism,20.75,1500474320,0
12,"elvitegravir, cobicistat, emtricitabine, and tenofovir disoproxil fumarate","Laceration w fb of left cheek and TMJ area, sequela",89.28,4010929227,0
13,Polyethylene Glycol 3350,Oth psychoactive substance abuse w mood disorder,51.68,2202536582,0
14,SODIUM FLUORIDE,"Nondisp commnt fx shaft of ulna, unsp arm, 7thD",3.25,5125442593,0
15,Berberis Oxalis,"Displ oth fx tuberosity of r calcaneus, 7thP",5.36,8382178367,0
16,verapamil hydrochloride,"Immersion foot, left foot",42.16,6936026001,0
17,PODOFILOX,"Other malformation of placenta, unspecified trimester",8.54,9989469962,0
18,Tretinoin,"Toxic effect of carbon disulfide, undetermined, subs encntr",32.88,4911420723,0
19,Alprazolam,"Poisn by antivaric drugs, inc scler agents, assault, subs",15.13,6253132628,0
20,First aid and Burn,"Nondisp fx of lateral malleolus of unsp fibula, 7thP",3.98,6971907965,0
21,Arsenicum Cerebrum,"Displ suprcndl fx w/o intrcndl extn low end l femr, 7thR",80.15,0042782783,0
22,Hydrocodone Bitartrate And Acetaminophen,"Other nondisp fx of second cervical vertebra, sequela",27.76,1529078059,0
23,Duloxetine,"Salter-Harris Type II physeal fracture of r calcaneus, 7thK",24.49,9542202865,0
24,Acetaminophen,"Displ subtrochnt fx l femr, 7thJ",19.82,3205191013,0
25,bacillus subtilis,Generalized atherosclerosis,45.22,8530873653,0
26,Simvastatin,"Severely displaced Zone III fracture of sacrum, sequela",85.09,5837686479,0
27,Amlodipine and Benazepril Hydrochloride,"Abscess of bursa, right hip",62.46,3851332377,0
28,"aluminum hydroxide, magnesium hydroxide, simethicone",Unspecified complicated cataract,57.3,4940050521,0
29,"Octinoxate, Octocrylene, Titanium Dioxide, Zinc Oxide","Underdosing of oth fibrinolysis-affecting drugs, subs encntr",96.04,9912090349,0
30,mometasone furoate and formoterol fumarate dihydrate,"Poisn by unsp antieplptc and sed-hypntc drugs, slf-hrm, subs",20.18,6732368389,0
31,MORPHINE SULFATE,Avulsion of left eye,14.71,2495892078,0
32,Nitroglycerin,Infection following a procedure,57.3,5451093067,0
33,ZONISAMIDE,"Unequal limb length (acquired), right humerus",56.02,8601883206,0
34,bicalutamide,"Foreign body of alimentary tract, part unspecified, sequela",88.23,7394201775,0
35,TITANIUM DIOXIDE and ZINC OXIDE,Driver injured in collision w oth and unsp mv nontraf,19.42,2972040775,0
36,Podofilox,"Oth injury of vein at forearm level, left arm, sequela",29.36,5833351731,0
37,Red (River) Birch,"Nondisp suprcndl fx w/o intrcndl extn low end l femr, 7thB",11.77,5652190205,0
38,Desmopressin Acetate,Activities involving computer tech and electrnc devices,88.07,9043076058,0
39,topiramate,"Mech compl of internal orth devices, implants and grafts",31.08,3314701926,0
40,"OCTINOXATE, TITANIUM DIOXIDE","Sympathetic uveitis, bilateral",92.91,6512212746,0
